seq_id	decision	image
IRN_000545	accept	plots/IRN_000545.png
IRN_001296	reject	plots/IRN_001296.png
IRN_001305	accept	plots/IRN_001305.png
IRN_001580	reject	plots/IRN_001580.png
IRN_001670	accept	plots/IRN_001670.png
IRN_001677	reject	plots/IRN_001677.png
IRN_001887	reject	plots/IRN_001887.png
IRN_002115	accept	plots/IRN_002115.png
IRN_002126	accept	plots/IRN_002126.png
IRN_002268	accept	plots/IRN_002268.png
IRN_002340	reject	plots/IRN_002340.png
IRN_003126	accept	plots/IRN_003126.png
IRN_003979	accept	plots/IRN_003979.png
IRN_004020	accept	plots/IRN_004020.png
IRN_004033	accept	plots/IRN_004033.png
IRN_004080	accept	plots/IRN_004080.png
IRN_004179	accept	plots/IRN_004179.png
IRN_004342	accept	plots/IRN_004342.png
IRN_004513	accept	plots/IRN_004513.png
IRN_005086	accept	plots/IRN_005086.png
IRN_005087	accept	plots/IRN_005087.png
IRN_005088	accept	plots/IRN_005088.png
IRN_005219	accept	plots/IRN_005219.png
IRN_005576	accept	plots/IRN_005576.png
IRN_006177	reject	plots/IRN_006177.png
IRN_006587	accept	plots/IRN_006587.png
IRN_006588	accept	plots/IRN_006588.png
IRN_006600	accept	plots/IRN_006600.png
IRN_007164	accept	plots/IRN_007164.png
IRN_007517	accept	plots/IRN_007517.png
IRN_007656	accept	plots/IRN_007656.png
IRN_007657	reject	plots/IRN_007657.png
IRN_007710	accept	plots/IRN_007710.png
IRN_007719	accept	plots/IRN_007719.png
IRN_007724	accept	plots/IRN_007724.png
IRN_007872	accept	plots/IRN_007872.png
IRN_008403	accept	plots/IRN_008403.png
IRN_008638	accept	plots/IRN_008638.png
IRN_008770	accept	plots/IRN_008770.png
IRN_008771	accept	plots/IRN_008771.png
IRN_008772	accept	plots/IRN_008772.png
IRN_008919	reject	plots/IRN_008919.png
IRN_009014	reject	plots/IRN_009014.png
IRN_009061	accept	plots/IRN_009061.png
IRN_009191	accept	plots/IRN_009191.png
