internal_id	source_id	source_header	safe_id	source_type	sequence_sha256	has_internal_stop	contig	start	end	strand	gene_id	transcript_id	final_output_id
IRN_000001	gnl|WGS:ZZZZ|Megafenestra_000001-P1	gnl|WGS:ZZZZ|Megafenestra_000001-P1 ubiquitination factor E4B	IRN_000001	protein_fasta	a229bff1c6dc96a40086c16490e69ae8d651bb5a8e2cdb5a0783e87aa6375221	false							
IRN_000002	gnl|WGS:ZZZZ|Megafenestra_007810-P1	gnl|WGS:ZZZZ|Megafenestra_007810-P1 vacuolar protein sorting 50	IRN_000002	protein_fasta	533618bce8c72c04d61fb98ad2aa5001fa74c23a417ae0a2f80f23b863658e78	false							
IRN_000003	gnl|WGS:ZZZZ|Megafenestra_008950-P1	gnl|WGS:ZZZZ|Megafenestra_008950-P1 tau-tubulin kinase asator	IRN_000003	protein_fasta	aee22717cc87c4820b08007ac62089968a8be4b0153181658c883e99b466488a	false							
IRN_000004	gnl|WGS:ZZZZ|Megafenestra_000002-P1	gnl|WGS:ZZZZ|Megafenestra_000002-P1 conserved oligomeric Golgi complex subunit 7	IRN_000004	protein_fasta	94bdbd2ca6fd2005c9201ed627bb540e1beeacb1c4fdfc31b29beeba22b7b97e	false							
IRN_000005	gnl|WGS:ZZZZ|Megafenestra_001120-P1	gnl|WGS:ZZZZ|Megafenestra_001120-P1 mutagen-sensitive 101	IRN_000005	protein_fasta	0878bb211bd48aab5d81758dd58591716960fa9d75db84ce73f2eba0a08976e1	false							
IRN_000006	gnl|WGS:ZZZZ|Megafenestra_002242-P1	gnl|WGS:ZZZZ|Megafenestra_002242-P1 ubiquitin specific protease 10	IRN_000006	protein_fasta	6b8edacbfede923eadb7463ae450af809923891c116ad7b9c775067412468043	false							
IRN_000007	gnl|WGS:ZZZZ|Megafenestra_003353-P1	gnl|WGS:ZZZZ|Megafenestra_003353-P1 Golgi resident protein GCP60	IRN_000007	protein_fasta	9a83115a56ce798446e39c1fbd0f220a36c16f3cc92642ae43010557f33f2ed5	false							
IRN_000008	gnl|WGS:ZZZZ|Megafenestra_004470-P1	gnl|WGS:ZZZZ|Megafenestra_004470-P1 retinol dehydrogenase 11-like	IRN_000008	protein_fasta	8a054fef40a006bd21891f419ec11b4c323374f475dd00b8bc6605911225ecf7	false							
IRN_000009	gnl|WGS:ZZZZ|Megafenestra_005589-P1	gnl|WGS:ZZZZ|Megafenestra_005589-P1 peroxisomal biogenesis factor 6	IRN_000009	protein_fasta	24a93b0f621afa7e85fe02b7de8137d82baa494a1df47cf9ce38862ed23a9036	false							
IRN_000010	gnl|WGS:ZZZZ|Megafenestra_006704-P1	gnl|WGS:ZZZZ|Megafenestra_006704-P1 actin-related protein 8	IRN_000010	protein_fasta	24f0ea4f7c4f4048ee3f141d1731dcff2726debe491e76f27021ba81b0268f7b	false							
IRN_000011	gnl|WGS:ZZZZ|Megafenestra_007443-P1	gnl|WGS:ZZZZ|Megafenestra_007443-P1 uncharacterized protein Megafenestra_007443	IRN_000011	protein_fasta	59cc1d263bbc0d041e883c22dc86e1e38c6551b021cb72ee5cd9ebbc85429285	false							
IRN_000012	gnl|WGS:ZZZZ|Megafenestra_007555-P1	gnl|WGS:ZZZZ|Megafenestra_007555-P1 DNA replication complex GINS protein Sld5	IRN_000012	protein_fasta	732b6b7790cd582f81f36a360ad6d8a95c70030864f5892a984e14ce2af385b7	false							
IRN_000013	gnl|WGS:ZZZZ|Megafenestra_007677-P1	gnl|WGS:ZZZZ|Megafenestra_007677-P1 RAS oncogene family member Rab4	IRN_000013	protein_fasta	ca71c0988230be87d947d50f67df3f2a28b90596d4d3a4b43bdfcc5c82e2754b	false							
