protein_id	auto_decision	final_decision	topology_class	decision_notes
IRN_000215	accept	accept	strict	
IRN_000216	accept	accept	relaxed	
IRN_000217	accept	accept	relaxed	
IRN_000218	accept	accept	relaxed	
IRN_000471	accept	accept	strict	
IRN_001332	accept	accept	strict	
IRN_001333	accept	accept	relaxed	
IRN_002019	accept	accept	strict	
IRN_002020	accept	accept	strict	
IRN_002072	accept	accept	strict	
IRN_002073	accept	accept	strict	
IRN_002075	accept	accept	strict	
IRN_002185	accept	accept	strict	
IRN_002214	accept	accept	strict	
IRN_002215	accept	accept	strict	
IRN_002216	accept	accept	strict	
IRN_002217	accept	accept	strict	
IRN_003465	accept	accept	strict	
IRN_003466	accept	accept	strict	
IRN_003685	accept	accept	strict	
IRN_003720	accept	accept	strict	
IRN_003721	reject	reject	fail	
IRN_005416	reject	reject	fail	
IRN_005417	reject	reject	fail	
IRN_005737	accept	accept	strict	
IRN_005738	accept	accept	strict	
IRN_005739	reject	reject	fail	
IRN_005740	reject	reject	fail	
IRN_005750	accept	accept	strict	
IRN_005768	accept	accept	strict	
IRN_005769	accept	accept	strict	
IRN_005773	accept	accept	strict	
IRN_005774	accept	accept	strict	
IRN_005775	accept	accept	strict	
IRN_005803	accept	accept	strict	
IRN_006067	accept	accept	relaxed	
IRN_006068	accept	accept	relaxed	
IRN_006145	accept	accept	strict	
IRN_006146	accept	accept	strict	
IRN_006147	accept	accept	strict	
IRN_006568	accept	accept	strict	
IRN_006569	accept	accept	strict	
IRN_006571	accept	accept	strict	
IRN_006572	accept	accept	strict	
IRN_006620	accept	accept	strict	
IRN_006621	accept	accept	relaxed	
IRN_006687	accept	accept	strict	
IRN_006691	accept	accept	strict	
IRN_006692	accept	accept	strict	
IRN_006693	accept	accept	strict	
IRN_006694	accept	accept	relaxed	
IRN_006695	reject	reject	fail	
IRN_006696	accept	accept	strict	
IRN_006708	accept	accept	strict	
IRN_006709	reject	reject	fail	
IRN_006822	accept	accept	strict	
IRN_006823	accept	accept	strict	
IRN_006834	accept	accept	strict	
IRN_006860	accept	accept	strict	
IRN_006871	reject	reject	fail	
IRN_006902	accept	accept	strict	
IRN_006903	accept	accept	strict	
IRN_006904	accept	accept	strict	
IRN_007570	accept	accept	strict	
IRN_007815	accept	accept	strict	
IRN_008983	accept	accept	relaxed	
IRN_009752	accept	accept	strict	
IRN_009880	reject	reject	fail	
IRN_009883	accept	accept	relaxed	
IRN_010297	accept	accept	strict	
IRN_010403	accept	accept	strict	
IRN_010408	accept	accept	relaxed	
IRN_010559	accept	accept	strict	
IRN_010772	accept	accept	relaxed	
IRN_011021	accept	accept	strict	
IRN_012210	accept	accept	strict	
IRN_012435	accept	accept	strict	
IRN_012556	accept	accept	strict	
IRN_012579	accept	accept	relaxed	
IRN_012580	accept	accept	relaxed	
IRN_012764	accept	accept	strict	
IRN_013051	accept	accept	relaxed	
IRN_013052	accept	accept	relaxed	
IRN_013061	accept	accept	strict	
IRN_013062	accept	accept	strict	
IRN_013081	accept	accept	strict	
IRN_013082	accept	accept	relaxed	
IRN_013094	accept	reject	strict	
IRN_013095	accept	accept	strict	
IRN_013096	accept	accept	strict	
IRN_013101	reject	reject	fail	
IRN_013102	accept	accept	relaxed	
IRN_013103	accept	accept	strict	
IRN_013108	accept	accept	strict	
IRN_013109	accept	accept	strict	
IRN_013264	reject	reject	fail	
IRN_014672	reject	reject	fail	
IRN_014782	accept	accept	strict	
IRN_015238	accept	accept	relaxed	
IRN_015377	accept	accept	strict	
IRN_015386	accept	accept	strict	
IRN_016450	accept	accept	strict	
IRN_016454	accept	accept	strict	
IRN_016461	accept	accept	strict	
IRN_016521	accept	accept	relaxed	
IRN_016522	accept	accept	strict	
IRN_017733	accept	accept	strict	
IRN_018012	accept	accept	strict	
IRN_018036	reject	reject	fail	
IRN_018037	reject	reject	fail	
IRN_018066	accept	accept	strict	
IRN_018068	accept	accept	strict	
IRN_018675	accept	accept	relaxed	
IRN_018676	accept	accept	strict	
IRN_018677	accept	accept	strict	
IRN_018678	accept	accept	strict	
IRN_018679	accept	accept	strict	
IRN_018680	accept	accept	strict	
IRN_018681	accept	accept	relaxed	
IRN_018682	accept	accept	strict	
IRN_018683	accept	accept	strict	
IRN_018684	accept	accept	relaxed	
IRN_018685	accept	accept	relaxed	
IRN_018686	accept	accept	strict	
IRN_018687	accept	accept	strict	
IRN_018688	accept	accept	strict	
IRN_018689	accept	accept	relaxed	
IRN_018690	accept	accept	relaxed	
IRN_018692	accept	accept	strict	
IRN_018693	accept	accept	strict	
IRN_018694	reject	reject	fail	
IRN_018695	accept	accept	strict	
IRN_018696	accept	accept	relaxed	
IRN_018697	accept	accept	strict	
IRN_018698	accept	reject	relaxed	
IRN_018699	accept	accept	strict	
IRN_018700	reject	reject	fail	
IRN_018701	accept	accept	relaxed	
IRN_018702	accept	accept	strict	
IRN_018703	accept	accept	relaxed	
IRN_018704	accept	accept	strict	
IRN_018705	accept	reject	strict	
IRN_018706	accept	accept	strict	
IRN_018707	accept	accept	strict	
IRN_018708	accept	accept	strict	
IRN_018709	accept	accept	strict	
IRN_018710	accept	accept	strict	
IRN_018711	accept	accept	strict	
IRN_018712	accept	accept	relaxed	
IRN_018713	accept	reject	relaxed	
IRN_018714	accept	accept	strict	
IRN_018715	accept	accept	strict	
IRN_018716	accept	accept	strict	
IRN_018717	accept	reject	strict	
IRN_018718	accept	accept	strict	
IRN_018719	accept	accept	strict	
IRN_018720	accept	accept	strict	
IRN_018721	accept	accept	strict	
IRN_018722	accept	accept	strict	
IRN_018723	accept	accept	strict	
IRN_018724	accept	accept	strict	
IRN_018725	accept	accept	strict	
IRN_018726	accept	accept	strict	
IRN_018727	accept	accept	relaxed	
IRN_018728	accept	accept	strict	
IRN_018729	accept	accept	strict	
IRN_018730	accept	accept	strict	
IRN_018731	reject	reject	fail	
IRN_018732	accept	accept	strict	
IRN_018733	accept	accept	strict	
IRN_018734	accept	reject	strict	
IRN_018735	accept	accept	relaxed	
IRN_018736	accept	accept	relaxed	
IRN_018737	accept	accept	strict	
IRN_018738	accept	accept	strict	
IRN_018739	accept	accept	strict	
IRN_018740	accept	accept	strict	
IRN_018741	accept	accept	strict	
IRN_018742	accept	accept	strict	
IRN_018743	accept	accept	relaxed	
IRN_018744	accept	accept	strict	
IRN_018745	accept	accept	strict	
IRN_018746	accept	accept	strict	
IRN_018747	accept	accept	strict	
IRN_018748	accept	accept	strict	
IRN_018750	accept	accept	strict	
IRN_018751	accept	accept	strict	
IRN_018752	accept	accept	strict	
IRN_019005	accept	accept	relaxed	
IRN_019006	accept	accept	relaxed	
IRN_019011	accept	accept	relaxed	
IRN_019737	accept	accept	strict	
IRN_019890	accept	accept	relaxed	
IRN_019896	accept	accept	relaxed	
IRN_020148	accept	accept	relaxed	
IRN_020149	accept	accept	relaxed	
IRN_020591	accept	accept	relaxed	
IRN_023258	accept	reject	relaxed	
IRN_023706	accept	accept	relaxed	
IRN_026222	reject	reject	fail	
IRN_026466	accept	accept	strict	
IRN_026720	reject	reject	fail	
IRN_026722	reject	reject	fail	
IRN_028897	accept	accept	relaxed	
IRN_028899	reject	reject	fail	
IRN_029258	accept	accept	relaxed	
IRN_030489	accept	reject	strict	
IRN_030706	accept	accept	relaxed	
IRN_030707	accept	accept	strict	
IRN_030779	accept	accept	strict	
IRN_031157	accept	accept	strict	
IRN_031619	reject	reject	fail	
IRN_031632	accept	accept	relaxed	
IRN_031667	accept	accept	relaxed	
IRN_031684	accept	accept	strict	
IRN_031685	accept	accept	strict	
IRN_031692	accept	accept	relaxed	
IRN_031693	accept	accept	strict	
IRN_031694	accept	accept	relaxed	
IRN_031695	accept	accept	relaxed	
IRN_031700	accept	accept	strict	
IRN_031967	reject	reject	fail	
IRN_033492	accept	accept	strict	
IRN_033493	reject	reject	fail	
IRN_033505	accept	accept	strict	
IRN_033506	accept	accept	strict	
IRN_033588	accept	accept	relaxed	
IRN_033589	reject	reject	fail	
IRN_033590	accept	accept	relaxed	
IRN_035277	reject	reject	fail	
IRN_035780	accept	accept	relaxed	
IRN_035832	accept	accept	relaxed	
IRN_035835	accept	accept	strict	
IRN_036948	accept	accept	strict	
IRN_038096	accept	accept	relaxed	
IRN_038181	reject	reject	fail	
IRN_038183	accept	accept	relaxed	
IRN_038359	reject	reject	fail	
IRN_038360	reject	reject	fail	
IRN_038405	accept	accept	strict	
IRN_038406	reject	reject	fail	
IRN_038407	reject	reject	fail	
IRN_040954	reject	reject	fail	
IRN_041817	accept	accept	relaxed	
IRN_042050	accept	accept	strict	
IRN_042068	accept	accept	relaxed	
IRN_044479	reject	reject	fail	
IRN_045047	accept	accept	strict	
IRN_045048	accept	accept	strict	
IRN_045071	reject	reject	fail	
IRN_045100	accept	accept	strict	
IRN_045105	accept	accept	relaxed	
IRN_045106	accept	accept	strict	
IRN_045107	accept	accept	strict	
IRN_045154	accept	accept	strict	
IRN_045533	reject	reject	fail	
IRN_045534	accept	accept	relaxed	
IRN_045650	accept	accept	strict	
IRN_045651	accept	accept	relaxed	
IRN_046228	reject	reject	fail	
IRN_046230	accept	accept	relaxed	
IRN_046231	accept	reject	strict	
IRN_046303	reject	reject	fail	
IRN_046435	accept	accept	relaxed	
IRN_046436	reject	reject	fail	
IRN_046438	accept	accept	strict	
IRN_046455	accept	accept	relaxed	
IRN_046456	accept	accept	relaxed	
IRN_046681	accept	accept	relaxed	
IRN_046698	accept	accept	relaxed	
IRN_046699	reject	reject	fail	
IRN_046832	accept	accept	strict	
IRN_046833	accept	accept	relaxed	
IRN_047705	accept	accept	relaxed	
IRN_048055	accept	accept	relaxed	
IRN_048920	accept	accept	strict	
IRN_049333	accept	accept	strict	
IRN_049395	reject	reject	fail	
IRN_051513	accept	accept	relaxed	
IRN_051514	accept	accept	strict	
IRN_051515	accept	accept	strict	
IRN_051516	accept	accept	relaxed	
IRN_051517	accept	accept	strict	
IRN_051518	accept	accept	strict	
IRN_051519	accept	accept	strict	
IRN_051521	accept	accept	strict	
IRN_051522	accept	accept	strict	
IRN_051523	accept	accept	relaxed	
IRN_051524	accept	accept	strict	
IRN_051525	accept	accept	strict	
IRN_051526	accept	accept	relaxed	
IRN_051527	accept	accept	relaxed	
IRN_051528	reject	reject	fail	
IRN_051529	accept	accept	strict	
IRN_051530	accept	accept	strict	
IRN_051531	accept	accept	strict	
IRN_051532	accept	accept	relaxed	
IRN_051533	accept	accept	relaxed	
IRN_051535	accept	accept	strict	
IRN_051536	accept	accept	strict	
IRN_051537	reject	reject	fail	
IRN_051538	accept	accept	strict	
IRN_051539	accept	accept	relaxed	
IRN_051540	accept	accept	strict	
IRN_051541	accept	accept	strict	
IRN_051542	reject	reject	fail	
IRN_051543	reject	reject	fail	
IRN_051544	accept	accept	strict	
IRN_051545	accept	accept	strict	
IRN_051546	accept	accept	strict	
IRN_051547	accept	accept	strict	
IRN_051548	accept	accept	strict	
IRN_051549	accept	accept	strict	
IRN_051550	reject	reject	fail	
IRN_051551	reject	reject	fail	
IRN_051552	reject	reject	fail	
IRN_051553	accept	accept	strict	
IRN_051554	accept	reject	relaxed	
IRN_051555	accept	accept	strict	
IRN_051556	accept	accept	strict	
IRN_051557	accept	accept	strict	
IRN_051558	reject	reject	fail	
IRN_051559	reject	reject	fail	
IRN_051560	reject	reject	fail	
IRN_051561	accept	accept	strict	
IRN_051562	accept	accept	strict	
IRN_051563	reject	reject	fail	
IRN_051564	accept	accept	relaxed	
IRN_051565	accept	accept	strict	
IRN_051566	accept	accept	strict	
IRN_051567	reject	reject	fail	
IRN_051568	accept	accept	strict	
IRN_051569	accept	accept	strict	
IRN_051570	accept	accept	strict	
IRN_051571	reject	reject	fail	
IRN_051572	reject	reject	fail	
IRN_051573	accept	accept	strict	
IRN_051574	accept	accept	strict	
IRN_051575	reject	reject	fail	
IRN_051576	reject	reject	fail	
IRN_051577	accept	accept	strict	
IRN_051578	reject	reject	fail	
IRN_051579	reject	reject	fail	
IRN_051580	reject	reject	fail	
