protein_id	auto_decision	final_decision	topology_class	decision_notes
IRN_000001	accept	accept	strict	
IRN_000002	reject	reject	fail	
IRN_000003	accept	accept	relaxed	
IRN_000004	accept	accept	strict	
IRN_000005	accept	accept	strict	
IRN_000006	accept	accept	strict	
IRN_000007	accept	accept	strict	
IRN_000008	accept	accept	relaxed	
IRN_000009	accept	accept	strict	
IRN_000010	reject	reject	fail	
IRN_000011	accept	accept	relaxed	
IRN_000012	accept	accept	strict	
IRN_000013	accept	accept	relaxed	
