protein_id	hardcoded_call	topology_class	hardcoded_reason
IRN_000215	pass	strict	matches_strict_topology
IRN_000216	pass	relaxed	matches_relaxed_topology
IRN_000217	pass	relaxed	matches_relaxed_topology
IRN_000218	pass	relaxed	matches_relaxed_topology
IRN_000471	pass	strict	matches_strict_topology
IRN_001332	pass	strict	matches_strict_topology
IRN_001333	pass	relaxed	matches_relaxed_topology
IRN_002019	pass	strict	matches_strict_topology
IRN_002020	pass	strict	matches_strict_topology
IRN_002072	pass	strict	matches_strict_topology
IRN_002073	pass	strict	matches_strict_topology
IRN_002075	pass	strict	matches_strict_topology
IRN_002185	pass	strict	matches_strict_topology
IRN_002214	pass	strict	matches_strict_topology
IRN_002215	pass	strict	matches_strict_topology
IRN_002216	pass	strict	matches_strict_topology
IRN_002217	pass	strict	matches_strict_topology
IRN_003465	pass	strict	matches_strict_topology
IRN_003466	pass	strict	matches_strict_topology
IRN_003685	pass	strict	matches_strict_topology
IRN_003720	pass	strict	matches_strict_topology
IRN_003721	fail	fail	wrong_feature_order
IRN_005416	fail	fail	wrong_feature_order
IRN_005417	fail	fail	wrong_feature_order
IRN_005737	pass	strict	matches_strict_topology
IRN_005738	pass	strict	matches_strict_topology
IRN_005739	fail	fail	wrong_feature_order
IRN_005740	fail	fail	wrong_feature_order
IRN_005750	pass	strict	matches_strict_topology
IRN_005768	pass	strict	matches_strict_topology
IRN_005769	pass	strict	matches_strict_topology
IRN_005773	pass	strict	matches_strict_topology
IRN_005774	pass	strict	matches_strict_topology
IRN_005775	pass	strict	matches_strict_topology
IRN_005803	pass	strict	matches_strict_topology
IRN_006067	pass	relaxed	matches_relaxed_topology
IRN_006068	pass	relaxed	matches_relaxed_topology
IRN_006145	pass	strict	matches_strict_topology
IRN_006146	pass	strict	matches_strict_topology
IRN_006147	pass	strict	matches_strict_topology
IRN_006568	pass	strict	matches_strict_topology
IRN_006569	pass	strict	matches_strict_topology
IRN_006571	pass	strict	matches_strict_topology
IRN_006572	pass	strict	matches_strict_topology
IRN_006620	pass	strict	matches_strict_topology
IRN_006621	pass	relaxed	matches_relaxed_topology
IRN_006687	pass	strict	matches_strict_topology
IRN_006691	pass	strict	matches_strict_topology
IRN_006692	pass	strict	matches_strict_topology
IRN_006693	pass	strict	matches_strict_topology
IRN_006694	pass	relaxed	matches_relaxed_topology
IRN_006695	fail	fail	wrong_feature_order
IRN_006696	pass	strict	matches_strict_topology
IRN_006708	pass	strict	matches_strict_topology
IRN_006709	fail	fail	wrong_feature_order
IRN_006822	pass	strict	matches_strict_topology
IRN_006823	pass	strict	matches_strict_topology
IRN_006834	pass	strict	matches_strict_topology
IRN_006860	pass	strict	matches_strict_topology
IRN_006871	fail	fail	wrong_feature_order
IRN_006902	pass	strict	matches_strict_topology
IRN_006903	pass	strict	matches_strict_topology
IRN_006904	pass	strict	matches_strict_topology
IRN_007570	pass	strict	matches_strict_topology
IRN_007815	pass	strict	matches_strict_topology
IRN_008983	pass	relaxed	matches_relaxed_topology
IRN_009752	pass	strict	matches_strict_topology
IRN_009880	fail	fail	wrong_feature_order
IRN_009883	pass	relaxed	matches_relaxed_topology
IRN_010297	pass	strict	matches_strict_topology
IRN_010403	pass	strict	matches_strict_topology
IRN_010408	pass	relaxed	matches_relaxed_topology
IRN_010559	pass	strict	matches_strict_topology
IRN_010772	pass	relaxed	matches_relaxed_topology
IRN_011021	pass	strict	matches_strict_topology
IRN_012210	pass	strict	matches_strict_topology
IRN_012435	pass	strict	matches_strict_topology
IRN_012556	pass	strict	matches_strict_topology
IRN_012579	pass	relaxed	matches_relaxed_topology
IRN_012580	pass	relaxed	matches_relaxed_topology
IRN_012764	pass	strict	matches_strict_topology
IRN_013051	pass	relaxed	matches_relaxed_topology
IRN_013052	pass	relaxed	matches_relaxed_topology
IRN_013061	pass	strict	matches_strict_topology
IRN_013062	pass	strict	matches_strict_topology
IRN_013081	pass	strict	matches_strict_topology
IRN_013082	pass	relaxed	matches_relaxed_topology
IRN_013094	pass	strict	matches_strict_topology
IRN_013095	pass	strict	matches_strict_topology
IRN_013096	pass	strict	matches_strict_topology
IRN_013101	fail	fail	wrong_feature_order
IRN_013102	pass	relaxed	matches_relaxed_topology
IRN_013103	pass	strict	matches_strict_topology
IRN_013108	pass	strict	matches_strict_topology
IRN_013109	pass	strict	matches_strict_topology
IRN_013264	fail	fail	wrong_feature_order
IRN_014672	fail	fail	wrong_feature_order
IRN_014782	pass	strict	matches_strict_topology
IRN_015238	pass	relaxed	matches_relaxed_topology
IRN_015377	pass	strict	matches_strict_topology
IRN_015386	pass	strict	matches_strict_topology
IRN_016450	pass	strict	matches_strict_topology
IRN_016454	pass	strict	matches_strict_topology
IRN_016461	pass	strict	matches_strict_topology
IRN_016521	pass	relaxed	matches_relaxed_topology
IRN_016522	pass	strict	matches_strict_topology
IRN_017733	pass	strict	matches_strict_topology
IRN_018012	pass	strict	matches_strict_topology
IRN_018036	fail	fail	wrong_feature_order
IRN_018037	fail	fail	wrong_feature_order
IRN_018066	pass	strict	matches_strict_topology
IRN_018068	pass	strict	matches_strict_topology
IRN_018675	pass	relaxed	matches_relaxed_topology
IRN_018676	pass	strict	matches_strict_topology
IRN_018677	pass	strict	matches_strict_topology
IRN_018678	pass	strict	matches_strict_topology
IRN_018679	pass	strict	matches_strict_topology
IRN_018680	pass	strict	matches_strict_topology
IRN_018681	pass	relaxed	matches_relaxed_topology
IRN_018682	pass	strict	matches_strict_topology
IRN_018683	pass	strict	matches_strict_topology
IRN_018684	pass	relaxed	matches_relaxed_topology
IRN_018685	pass	relaxed	matches_relaxed_topology
IRN_018686	pass	strict	matches_strict_topology
IRN_018687	pass	strict	matches_strict_topology
IRN_018688	pass	strict	matches_strict_topology
IRN_018689	pass	relaxed	matches_relaxed_topology
IRN_018690	pass	relaxed	matches_relaxed_topology
IRN_018692	pass	strict	matches_strict_topology
IRN_018693	pass	strict	matches_strict_topology
IRN_018694	fail	fail	wrong_feature_order
IRN_018695	pass	strict	matches_strict_topology
IRN_018696	pass	relaxed	matches_relaxed_topology
IRN_018697	pass	strict	matches_strict_topology
IRN_018698	pass	relaxed	matches_relaxed_topology
IRN_018699	pass	strict	matches_strict_topology
IRN_018700	fail	fail	wrong_feature_order
IRN_018701	pass	relaxed	matches_relaxed_topology
IRN_018702	pass	strict	matches_strict_topology
IRN_018703	pass	relaxed	matches_relaxed_topology
IRN_018704	pass	strict	matches_strict_topology
IRN_018705	pass	strict	matches_strict_topology
IRN_018706	pass	strict	matches_strict_topology
IRN_018707	pass	strict	matches_strict_topology
IRN_018708	pass	strict	matches_strict_topology
IRN_018709	pass	strict	matches_strict_topology
IRN_018710	pass	strict	matches_strict_topology
IRN_018711	pass	strict	matches_strict_topology
IRN_018712	pass	relaxed	matches_relaxed_topology
