protein_id	feature_order	n_tmhelix	has_signal	has_unknown_features	hardcoded_call	hardcoded_reason
IRN_000545	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_001296	outside,tmhelix,inside,tmhelix,outside	2	false	false	fail	wrong_feature_count
IRN_001305	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_001580	signal,outside,tmhelix,inside,tmhelix,outside	2	true	false	fail	wrong_feature_count
IRN_001670	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_001677	inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	4	false	false	fail	wrong_feature_count
IRN_001887	outside,tmhelix,inside,tmhelix,outside	2	false	false	fail	wrong_feature_count
IRN_002115	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_002126	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_002268	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
IRN_002340	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside	4	false	false	fail	wrong_feature_count
IRN_003126	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_003979	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_004020	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
IRN_004033	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
IRN_004080	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
IRN_004179	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_004342	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
IRN_004513	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
IRN_005086	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
IRN_005087	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_005088	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
IRN_005219	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_005576	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_006177	signal,outside,tmhelix,inside,tmhelix,outside	2	true	false	fail	wrong_feature_count
IRN_006587	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_006588	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
IRN_006600	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_007164	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_007517	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_007656	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_007657	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_007710	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_007719	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_007724	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
IRN_007872	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
IRN_008403	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
IRN_008638	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_008770	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_008771	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_008772	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_008919	signal,outside,tmhelix,inside,tmhelix,outside	2	true	false	fail	wrong_feature_count
IRN_009014	outside,tmhelix,inside,tmhelix,outside	2	false	false	fail	wrong_feature_count
IRN_009061	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
IRN_009191	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
