protein_id	auto_decision	final_decision	topology_class	decision_notes
IRN_000215	accept	accept	strict	
IRN_000216	accept	accept	relaxed	
IRN_000217	accept	accept	relaxed	
IRN_000218	accept	accept	relaxed	
IRN_000471	accept	accept	strict	
IRN_001332	accept	accept	strict	
IRN_001333	accept	accept	relaxed	
IRN_002019	accept	accept	strict	
IRN_002020	accept	accept	strict	
IRN_002072	accept	accept	strict	
IRN_002073	accept	accept	strict	
IRN_002075	accept	accept	strict	
IRN_002185	accept	accept	strict	
IRN_002214	accept	accept	strict	
IRN_002215	accept	accept	strict	
IRN_002216	accept	accept	strict	
IRN_002217	accept	accept	strict	
IRN_003465	accept	accept	strict	
IRN_003466	accept	accept	strict	
IRN_003685	accept	accept	strict	
IRN_003720	accept	accept	strict	
IRN_003721	reject	reject	fail	
IRN_005416	reject	reject	fail	
IRN_005417	reject	reject	fail	
IRN_005737	accept	accept	strict	
IRN_005738	accept	accept	strict	
IRN_005739	reject	reject	fail	
IRN_005740	reject	reject	fail	
IRN_005750	accept	accept	strict	
IRN_005768	accept	accept	strict	
IRN_005769	accept	accept	strict	
IRN_005773	accept	accept	strict	
IRN_005774	accept	accept	strict	
IRN_005775	accept	accept	strict	
IRN_005803	accept	accept	strict	
IRN_006067	accept	accept	relaxed	
IRN_006068	accept	accept	relaxed	
IRN_006145	accept	accept	strict	
IRN_006146	accept	accept	strict	
IRN_006147	accept	accept	strict	
IRN_006568	accept	accept	strict	
IRN_006569	accept	accept	strict	
IRN_006571	accept	accept	strict	
IRN_006572	accept	accept	strict	
IRN_006620	accept	accept	strict	
IRN_006621	accept	accept	relaxed	
IRN_006687	accept	accept	strict	
IRN_006691	accept	accept	strict	
IRN_006692	accept	accept	strict	
IRN_006693	accept	accept	strict	
IRN_006694	accept	accept	relaxed	
IRN_006695	reject	reject	fail	
IRN_006696	accept	accept	strict	
IRN_006708	accept	accept	strict	
IRN_006709	reject	reject	fail	
IRN_006822	accept	accept	strict	
IRN_006823	accept	accept	strict	
IRN_006834	accept	accept	strict	
IRN_006860	accept	accept	strict	
IRN_006871	reject	reject	fail	
IRN_006902	accept	accept	strict	
IRN_006903	accept	accept	strict	
IRN_006904	accept	accept	strict	
IRN_007570	accept	accept	strict	
IRN_007815	accept	accept	strict	
IRN_008983	accept	accept	relaxed	
IRN_009752	accept	accept	strict	
IRN_009880	reject	reject	fail	
IRN_009883	accept	accept	relaxed	
IRN_010297	accept	accept	strict	
IRN_010403	accept	accept	strict	
IRN_010408	accept	accept	relaxed	
IRN_010559	accept	accept	strict	
IRN_010772	accept	accept	relaxed	
IRN_011021	accept	accept	strict	
IRN_012210	accept	accept	strict	
IRN_012435	accept	accept	strict	
IRN_012556	accept	accept	strict	
IRN_012579	accept	accept	relaxed	
IRN_012580	accept	accept	relaxed	
IRN_012764	accept	accept	strict	
IRN_013051	accept	accept	relaxed	
IRN_013052	accept	accept	relaxed	
IRN_013061	accept	accept	strict	
IRN_013062	accept	accept	strict	
IRN_013081	accept	accept	strict	
IRN_013082	accept	accept	relaxed	
IRN_013094	accept	accept	strict	
IRN_013095	accept	accept	strict	
IRN_013096	accept	accept	strict	
IRN_013101	reject	reject	fail	
IRN_013102	accept	accept	relaxed	
IRN_013103	accept	accept	strict	
IRN_013108	accept	accept	strict	
IRN_013109	accept	accept	strict	
IRN_013264	reject	reject	fail	
IRN_014672	reject	reject	fail	
IRN_014782	accept	accept	strict	
IRN_015238	accept	accept	relaxed	
IRN_015377	accept	accept	strict	
IRN_015386	accept	accept	strict	
IRN_016450	accept	accept	strict	
IRN_016454	accept	accept	strict	
IRN_016461	accept	accept	strict	
IRN_016521	accept	accept	relaxed	
IRN_016522	accept	accept	strict	
IRN_017733	accept	accept	strict	
IRN_018012	accept	accept	strict	
IRN_018036	reject	reject	fail	
IRN_018037	reject	reject	fail	
IRN_018066	accept	accept	strict	
IRN_018068	accept	accept	strict	
IRN_018675	accept	accept	relaxed	
IRN_018676	accept	accept	strict	
IRN_018677	accept	accept	strict	
IRN_018678	accept	accept	relaxed	
IRN_018679	accept	accept	strict	
IRN_018680	accept	accept	relaxed	
IRN_018682	accept	accept	strict	
IRN_018683	reject	reject	fail	
IRN_018684	accept	accept	relaxed	
IRN_018685	accept	accept	strict	
IRN_018686	accept	accept	relaxed	
IRN_018687	accept	accept	relaxed	
IRN_018688	accept	accept	strict	
IRN_018689	accept	accept	strict	
IRN_018690	accept	accept	strict	
IRN_018691	accept	accept	strict	
IRN_018692	accept	accept	relaxed	
IRN_018693	accept	accept	strict	
IRN_018694	accept	accept	strict	
IRN_018695	accept	accept	relaxed	
IRN_018696	accept	accept	strict	
IRN_018697	accept	accept	strict	
IRN_018698	accept	accept	relaxed	
IRN_018699	accept	accept	relaxed	
IRN_018700	accept	accept	strict	
IRN_018701	accept	accept	strict	
IRN_018702	accept	accept	relaxed	
IRN_018703	accept	accept	strict	
IRN_018705	accept	accept	strict	
IRN_018708	accept	accept	strict	
IRN_018709	accept	accept	relaxed	
IRN_018710	accept	accept	strict	
IRN_018711	reject	reject	fail	
IRN_018712	accept	accept	strict	
IRN_018713	reject	reject	fail	
IRN_018714	reject	reject	fail	
IRN_018715	reject	reject	fail	
IRN_018716	reject	reject	fail	
IRN_018717	accept	accept	strict	
IRN_018718	accept	accept	strict	
IRN_018719	reject	reject	fail	
IRN_018720	reject	reject	fail	
IRN_018721	reject	reject	fail	
IRN_018722	reject	reject	fail	
IRN_018723	accept	accept	relaxed	
IRN_018724	accept	accept	strict	
IRN_018725	accept	accept	strict	
IRN_018726	reject	reject	fail	
IRN_018727	reject	reject	fail	
IRN_018728	reject	reject	fail	
IRN_018729	reject	reject	fail	
IRN_018730	accept	accept	strict	
IRN_018731	reject	reject	fail	
IRN_018732	reject	reject	fail	
IRN_018733	reject	reject	fail	
IRN_018953	accept	accept	relaxed	
IRN_018954	accept	accept	relaxed	
IRN_018958	accept	accept	relaxed	
IRN_019601	accept	accept	strict	
IRN_019720	accept	accept	relaxed	
IRN_019725	accept	accept	relaxed	
IRN_019932	accept	accept	relaxed	
IRN_019933	accept	accept	relaxed	
IRN_022758	accept	accept	relaxed	
IRN_023144	accept	accept	relaxed	
IRN_025453	reject	reject	fail	
IRN_025902	reject	reject	fail	
IRN_025904	reject	reject	fail	
IRN_027879	accept	accept	relaxed	
IRN_027881	reject	reject	fail	
IRN_028181	accept	accept	relaxed	
IRN_029316	accept	accept	strict	
IRN_029506	accept	accept	relaxed	
IRN_029576	accept	accept	strict	
IRN_030326	reject	reject	fail	
IRN_030338	accept	accept	relaxed	
IRN_030368	accept	accept	relaxed	
IRN_030383	accept	accept	strict	
IRN_030384	accept	accept	strict	
IRN_030390	accept	accept	relaxed	
IRN_030391	accept	accept	strict	
IRN_030392	accept	accept	relaxed	
IRN_030393	accept	accept	relaxed	
IRN_030397	accept	accept	strict	
IRN_030636	reject	reject	fail	
IRN_032083	reject	reject	fail	
IRN_032095	accept	accept	strict	
IRN_032160	accept	accept	relaxed	
IRN_032161	reject	reject	fail	
IRN_032162	accept	accept	relaxed	
IRN_033807	reject	reject	fail	
IRN_034264	accept	accept	relaxed	
IRN_034309	accept	accept	relaxed	
IRN_036279	accept	accept	relaxed	
IRN_036342	reject	reject	fail	
IRN_036344	accept	accept	relaxed	
IRN_036482	reject	reject	fail	
IRN_036483	reject	reject	fail	
IRN_036520	accept	accept	strict	
IRN_036521	reject	reject	fail	
IRN_036522	reject	reject	fail	
IRN_038942	reject	reject	fail	
IRN_039685	accept	accept	relaxed	
IRN_039907	accept	accept	relaxed	
IRN_042102	reject	reject	fail	
IRN_042621	reject	reject	fail	
IRN_042646	accept	accept	relaxed	
IRN_042647	accept	accept	strict	
IRN_042648	accept	accept	strict	
IRN_042688	accept	accept	strict	
IRN_043019	reject	reject	fail	
IRN_043020	accept	accept	relaxed	
IRN_043131	accept	accept	strict	
IRN_043132	accept	accept	relaxed	
IRN_043688	reject	reject	fail	
IRN_043690	accept	accept	relaxed	
IRN_043691	accept	accept	strict	
IRN_043756	reject	reject	fail	
IRN_043869	accept	accept	relaxed	
IRN_043870	reject	reject	fail	
IRN_043887	accept	accept	relaxed	
IRN_043888	accept	accept	relaxed	
IRN_044096	accept	accept	relaxed	
IRN_044111	accept	accept	relaxed	
IRN_044112	reject	reject	fail	
IRN_044238	accept	accept	relaxed	
IRN_045081	accept	accept	relaxed	
IRN_046536	reject	reject	fail	
