merged_gene_id	merged_isoform_id	internal_id	final_decision	annotation_track	source_id	transcript_id	topology_class	contig	start	end	strand
CM058176.1_2194006-2196046r	CM058176.1_2194006-2196046r_X1-2194006-2195814-IRN_000216	IRN_000216	reject	Dmagna_LRV_IRs_braker_fixed	g10190.t2	g10190.t2	relaxed	CM058176.1	2194006	2195814	-
CM058176.1_2194006-2196046r	CM058176.1_2194006-2196046r_X2-2194006-2196046-IRN_000215	IRN_000215	accept	Dmagna_LRV_IRs_braker_fixed	g10190.t1	g10190.t1	strict	CM058176.1	2194006	2196046	-
CM058176.1_2194006-2196046r	CM058176.1_2194006-2196046r_X3-2194006-2196046-IRN_018714	IRN_018714	accept	Dmagna_LRV_rnd1	maker-CM058176.1-exonerate_est2genome-gene-0.1-mRNA-1	maker-CM058176.1-exonerate_est2genome-gene-0.1-mRNA-1	strict	CM058176.1	2194006	2196046	-
CM058176.1_2194006-2196046r	CM058176.1_2194006-2196046r_X4-2194006-2196046-IRN_051553	IRN_051553	accept	Dmagna_LRV_snap-aug	maker-CM058176.1-augustus-gene-0.848-mRNA-1	maker-CM058176.1-augustus-gene-0.848-mRNA-1	strict	CM058176.1	2194006	2196046	-
CM058176.1_2195049-2199169f	CM058176.1_2195049-2199169f_X1-2195049-2199169-IRN_018713	IRN_018713	accept	Dmagna_LRV_rnd1	maker-CM058176.1-exonerate_est2genome-gene-0.0-mRNA-1	maker-CM058176.1-exonerate_est2genome-gene-0.0-mRNA-1	relaxed	CM058176.1	2195049	2199169	+
CM058176.1_2195049-2199169f	CM058176.1_2195049-2199169f_X2-2195049-2199169-IRN_023258	IRN_023258	accept	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna004354-T1	rna-Dmagna004354-T1	relaxed	CM058176.1	2195049	2199169	+
CM058176.1_2195049-2199169f	CM058176.1_2195049-2199169f_X3-2195049-2199169-IRN_051554	IRN_051554	accept	Dmagna_LRV_snap-aug	maker-CM058176.1-exonerate_est2genome-gene-0.0-mRNA-1	maker-CM058176.1-exonerate_est2genome-gene-0.0-mRNA-1	relaxed	CM058176.1	2195049	2199169	+
CM058176.1_2195049-2199169f	CM058176.1_2195049-2199169f_X4-2197112-2199169-IRN_000217	IRN_000217	accept	Dmagna_LRV_IRs_braker_fixed	g10191.t1	g10191.t1	relaxed	CM058176.1	2197112	2199169	+
CM058176.1_2195049-2199169f	CM058176.1_2195049-2199169f_X5-2197112-2199169-IRN_000218	IRN_000218	accept	Dmagna_LRV_IRs_braker_fixed	g10191.t2	g10191.t2	relaxed	CM058176.1	2197112	2199169	+
CM058176.1_3874932-3877064r	CM058176.1_3874932-3877064r_X1-3874932-3876964-IRN_023706	IRN_023706	reject	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna004788-T1	rna-Dmagna004788-T1	relaxed	CM058176.1	3874932	3876964	-
CM058176.1_3874932-3877064r	CM058176.1_3874932-3877064r_X2-3875020-3877016-IRN_000471	IRN_000471	accept	Dmagna_LRV_IRs_braker_fixed	g10418.t1	g10418.t1	strict	CM058176.1	3875020	3877016	-
CM058176.1_3874932-3877064r	CM058176.1_3874932-3877064r_X3-3875020-3877016-IRN_018715	IRN_018715	accept	Dmagna_LRV_rnd1	maker-CM058176.1-exonerate_est2genome-gene-0.2-mRNA-1	maker-CM058176.1-exonerate_est2genome-gene-0.2-mRNA-1	strict	CM058176.1	3875020	3877016	-
CM058176.1_3874932-3877064r	CM058176.1_3874932-3877064r_X4-3875020-3877064-IRN_051555	IRN_051555	accept	Dmagna_LRV_snap-aug	maker-CM058176.1-snap-gene-0.867-mRNA-1	maker-CM058176.1-snap-gene-0.867-mRNA-1	strict	CM058176.1	3875020	3877064	-
CM058177.1_574978-578788r	CM058177.1_574978-578788r_X1-574978-578429-IRN_001333	IRN_001333	reject	Dmagna_LRV_IRs_braker_fixed	g11193.t2	g11193.t2	relaxed	CM058177.1	574978	578429	-
CM058177.1_574978-578788r	CM058177.1_574978-578788r_X2-574978-578626-IRN_001332	IRN_001332	accept	Dmagna_LRV_IRs_braker_fixed	g11193.t1	g11193.t1	strict	CM058177.1	574978	578626	-
CM058177.1_574978-578788r	CM058177.1_574978-578788r_X3-574978-578626-IRN_018719	IRN_018719	accept	Dmagna_LRV_rnd1	maker-CM058177.1-exonerate_protein2genome-gene-0.36-mRNA-1	maker-CM058177.1-exonerate_protein2genome-gene-0.36-mRNA-1	strict	CM058177.1	574978	578626	-
CM058177.1_574978-578788r	CM058177.1_574978-578788r_X4-574978-578626-IRN_036948	IRN_036948	accept	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna018095-T1	rna-Dmagna018095-T1	strict	CM058177.1	574978	578626	-
CM058177.1_574978-578788r	CM058177.1_574978-578788r_X5-574993-578788-IRN_051559	IRN_051559	reject	Dmagna_LRV_snap-aug	maker-CM058177.1-snap-gene-1.1099-mRNA-1	maker-CM058177.1-snap-gene-1.1099-mRNA-1	fail	CM058177.1	574993	578788	-
CM058177.1_4256928-4259682f	CM058177.1_4256928-4259682f_X1-4256928-4259682-IRN_002019	IRN_002019	accept	Dmagna_LRV_IRs_braker_fixed	g11810.t1	g11810.t1	strict	CM058177.1	4256928	4259682	+
CM058177.1_4256928-4259682f	CM058177.1_4256928-4259682f_X2-4256928-4259682-IRN_002020	IRN_002020	accept	Dmagna_LRV_IRs_braker_fixed	g11810.t2	g11810.t2	strict	CM058177.1	4256928	4259682	+
CM058177.1_4256928-4259682f	CM058177.1_4256928-4259682f_X3-4256928-4259682-IRN_018723	IRN_018723	accept	Dmagna_LRV_rnd1	maker-CM058177.1-exonerate_protein2genome-gene-0.8-mRNA-1	maker-CM058177.1-exonerate_protein2genome-gene-0.8-mRNA-1	strict	CM058177.1	4256928	4259682	+
CM058177.1_4256928-4259682f	CM058177.1_4256928-4259682f_X4-4256928-4259682-IRN_051556	IRN_051556	accept	Dmagna_LRV_snap-aug	maker-CM058177.1-augustus-gene-1.0-mRNA-1	maker-CM058177.1-augustus-gene-1.0-mRNA-1	strict	CM058177.1	4256928	4259682	+
CM058177.1_4256928-4259682f	CM058177.1_4256928-4259682f_X5-4257221-4259682-IRN_038096	IRN_038096	reject	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna019183-T1	rna-Dmagna019183-T1	relaxed	CM058177.1	4257221	4259682	+
CM058177.1_4459795-4470559f	CM058177.1_4459795-4470559f_X1-4459795-4465787-IRN_038181	IRN_038181	reject	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna019291-T1	rna-Dmagna019291-T1	fail	CM058177.1	4459795	4465787	+
CM058177.1_4459795-4470559f	CM058177.1_4459795-4470559f_X2-4459938-4461802-IRN_002072	IRN_002072	accept	Dmagna_LRV_IRs_braker_fixed	g11858.t1	g11858.t1	strict	CM058177.1	4459938	4461802	+
CM058177.1_4459795-4470559f	CM058177.1_4459795-4470559f_X3-4459938-4461802-IRN_018716	IRN_018716	accept	Dmagna_LRV_rnd1	maker-CM058177.1-exonerate_est2genome-gene-0.1-mRNA-1	maker-CM058177.1-exonerate_est2genome-gene-0.1-mRNA-1	strict	CM058177.1	4459938	4461802	+
CM058177.1_4459795-4470559f	CM058177.1_4459795-4470559f_X4-4459938-4470559-IRN_051558	IRN_051558	reject	Dmagna_LRV_snap-aug	maker-CM058177.1-snap-gene-1.1097-mRNA-1	maker-CM058177.1-snap-gene-1.1097-mRNA-1	fail	CM058177.1	4459938	4470559	+
CM058177.1_4459795-4470559f	CM058177.1_4459795-4470559f_X5-4463741-4465787-IRN_002073	IRN_002073	accept	Dmagna_LRV_IRs_braker_fixed	g11859.t1	g11859.t1	strict	CM058177.1	4463741	4465787	+
CM058177.1_4459795-4470559f	CM058177.1_4459795-4470559f_X6-4463741-4470559-IRN_018717	IRN_018717	reject	Dmagna_LRV_rnd1	maker-CM058177.1-exonerate_protein2genome-gene-0.12-mRNA-1	maker-CM058177.1-exonerate_protein2genome-gene-0.12-mRNA-1	strict	CM058177.1	4463741	4470559	+
CM058177.1_4459795-4470559f	CM058177.1_4459795-4470559f_X7-4468505-4470559-IRN_002075	IRN_002075	accept	Dmagna_LRV_IRs_braker_fixed	g11860.t1	g11860.t1	strict	CM058177.1	4468505	4470559	+
CM058177.1_4459795-4470559f	CM058177.1_4459795-4470559f_X8-4468748-4470559-IRN_038183	IRN_038183	reject	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna019293-T1	rna-Dmagna019293-T1	relaxed	CM058177.1	4468748	4470559	+
CM058177.1_4977247-4980456f	CM058177.1_4977247-4980456f_X1-4977247-4980456-IRN_002185	IRN_002185	accept	Dmagna_LRV_IRs_braker_fixed	g11959.t1	g11959.t1	strict	CM058177.1	4977247	4980456	+
CM058177.1_4977247-4980456f	CM058177.1_4977247-4980456f_X2-4977247-4980456-IRN_018718	IRN_018718	accept	Dmagna_LRV_rnd1	maker-CM058177.1-exonerate_protein2genome-gene-0.31-mRNA-1	maker-CM058177.1-exonerate_protein2genome-gene-0.31-mRNA-1	strict	CM058177.1	4977247	4980456	+
CM058177.1_4977247-4980456f	CM058177.1_4977247-4980456f_X3-4977247-4980456-IRN_051557	IRN_051557	accept	Dmagna_LRV_snap-aug	maker-CM058177.1-exonerate_protein2genome-gene-0.31-mRNA-1	maker-CM058177.1-exonerate_protein2genome-gene-0.31-mRNA-1	strict	CM058177.1	4977247	4980456	+
CM058177.1_4977247-4980456f	CM058177.1_4977247-4980456f_X4-4977519-4978664-IRN_038359	IRN_038359	reject	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna019470-T1	rna-Dmagna019470-T1	fail	CM058177.1	4977519	4978664	+
CM058177.1_4977247-4980456f	CM058177.1_4977247-4980456f_X5-4978805-4980125-IRN_038360	IRN_038360	reject	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna019471-T1	rna-Dmagna019471-T1	fail	CM058177.1	4978805	4980125	+
CM058177.1_5143023-5159830r	CM058177.1_5143023-5159830r_X1-5143023-5144932-IRN_002214	IRN_002214	accept	Dmagna_LRV_IRs_braker_fixed	g11984.t1	g11984.t1	strict	CM058177.1	5143023	5144932	-
CM058177.1_5143023-5159830r	CM058177.1_5143023-5159830r_X2-5143023-5144932-IRN_018720	IRN_018720	accept	Dmagna_LRV_rnd1	maker-CM058177.1-exonerate_protein2genome-gene-0.38-mRNA-1	maker-CM058177.1-exonerate_protein2genome-gene-0.38-mRNA-1	strict	CM058177.1	5143023	5144932	-
CM058177.1_5143023-5159830r	CM058177.1_5143023-5159830r_X3-5143023-5144932-IRN_038405	IRN_038405	accept	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna019516-T1	rna-Dmagna019516-T1	strict	CM058177.1	5143023	5144932	-
CM058177.1_5143023-5159830r	CM058177.1_5143023-5159830r_X4-5143023-5144962-IRN_002215	IRN_002215	accept	Dmagna_LRV_IRs_braker_fixed	g11984.t2	g11984.t2	strict	CM058177.1	5143023	5144962	-
CM058177.1_5143023-5159830r	CM058177.1_5143023-5159830r_X5-5143023-5159830-IRN_051560	IRN_051560	reject	Dmagna_LRV_snap-aug	maker-CM058177.1-snap-gene-1.1100-mRNA-1	maker-CM058177.1-snap-gene-1.1100-mRNA-1	fail	CM058177.1	5143023	5159830	-
