canonical_internal_id	provisional_internal_id	annotation_track	source_id	transcript_id	cds_signature	sequence_sha256
IRN_000001	IRN_000001	Dmagna_LRV_IRs_braker_fixed	g1.t1	g1.t1	CM058171.1|+|7090-7322-0,7391-7822-1,7895-7948-1,8028-8232-1	815fd5409fe443e7691e0ddb4221d2c195f8e708a03f96dd2913a7c7c232a161
IRN_000001	IRN_025850	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna006940-T1	rna-Dmagna006940-T1	CM058171.1|+|7090-7322-0,7391-7822-1,7895-7948-1,8028-8232-1	815fd5409fe443e7691e0ddb4221d2c195f8e708a03f96dd2913a7c7c232a161
IRN_000002	IRN_000002	Dmagna_LRV_IRs_braker_fixed	g10.t1	g10.t1	CM058171.1|-|46628-46963-0,47056-47289-0,47351-47500-0,47563-47623-1,47687-47829-0,47887-48063-0	2671a281b68bdbedc27641ebd0d308cf8f7552e6fa0cfa6d0f889ec528bf9e45
IRN_000002	IRN_025862	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna006950-T1	rna-Dmagna006950-T1	CM058171.1|-|46628-46963-0,47056-47289-0,47351-47500-0,47563-47623-1,47687-47829-0,47887-48063-0	2671a281b68bdbedc27641ebd0d308cf8f7552e6fa0cfa6d0f889ec528bf9e45
IRN_000003	IRN_000003	Dmagna_LRV_IRs_braker_fixed	g100.t1	g100.t1	CM058171.1|-|654431-654582-2,654654-654840-0,654916-657441-0,657504-657637-2,657729-657856-1,657926-658047-0	1393decce5ba1f4e9184d0bfe9ab0f6a86fdbd388a672db224c7a28134191cd1
IRN_000004	IRN_000004	Dmagna_LRV_IRs_braker_fixed	g1000.t1	g1000.t1	CM058171.1|+|8234181-8234545-0,8235115-8235517-1	839c3a59d605ed7e254c77a4ba1fd0435ee2d59376956a67653535d197ae73b3
IRN_000005	IRN_000005	Dmagna_LRV_IRs_braker_fixed	g10000.t1	g10000.t1	CM058176.1|+|952356-952540-0,952671-952975-1,953047-953279-2,953338-953883-0,953954-954169-0,954613-955500-0,955555-955707-0,955767-956162-0,956235-957017-0	2b563ed708a853c6dd998cb5a681bd3b84e7c4e599b811c2eabdd7502576fa12
IRN_000006	IRN_000006	Dmagna_LRV_IRs_braker_fixed	g10001.t1	g10001.t1	CM058176.1|-|963138-963202-2,963266-963458-0,963528-963750-1,963815-963999-0,964063-964245-0,964306-964503-0,964559-964719-2,964779-964944-0,965013-965174-0,965252-965320-0	51d526bc2e0928caaec5729659344e4652114add42ecb865508899c427384935
IRN_000006	IRN_022912	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna004011-T1	rna-Dmagna004011-T1	CM058176.1|-|963138-963202-2,963266-963458-0,963528-963750-1,963815-963999-0,964063-964245-0,964306-964503-0,964559-964719-2,964779-964944-0,965013-965174-0,965252-965320-0	51d526bc2e0928caaec5729659344e4652114add42ecb865508899c427384935
IRN_000007	IRN_000007	Dmagna_LRV_IRs_braker_fixed	g10002.t1	g10002.t1	CM058176.1|+|966432-966505-0,966571-966730-1,966801-966986-0	bebfc9f35bf04fc017987047b2683f2d006d1c5967ef652f5fc189a7654ac755
