protein_id	feature_order	n_tmhelix	has_signal	has_unknown_features
IRN_000001	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_000002	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	5	true	false
IRN_000003	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_000004	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_000005	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_000006	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_000007	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_000008	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_000009	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_000010	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	7	true	false
IRN_000011	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_000012	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_000013	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
