protein_id	feature_order	n_tmhelix	has_signal	has_unknown_features	hardcoded_call	hardcoded_reason
XP_059081679.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059081344.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059078456.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059079839.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059079838.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059079335.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059080424.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059078473.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059084635.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059078411.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059079334.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059079333.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059085839.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059081677.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059079423.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059082565.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059079771.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059082828.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059079180.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059080364.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059082519.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059080425.1	signal,outside,tmhelix,inside,tmhelix,outside	2	true	false	fail	wrong_feature_count
XP_059083359.1	outside,tmhelix,inside,tmhelix,outside	2	false	false	fail	wrong_feature_count
XP_059085837.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059085838.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059082646.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059086883.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059082976.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059084632.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059083827.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059085628.1	outside,tmhelix,inside,tmhelix,outside	2	false	false	fail	wrong_feature_count
XP_059081296.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059080362.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059079834.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059093173.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059095167.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059091446.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059091071.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059091028.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059092477.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059095430.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059095737.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059088023.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
