internal_id	source_id	source_header	safe_id	source_type	sequence_sha256	has_internal_stop	contig	start	end	strand	gene_id	transcript_id	final_output_id	annotation_track	cds_signature	duplicate_member_count	duplicate_members
IRN_000001	g4982.t1	g4982.t1	IRN_000001	genome_gff	49097ed4d313c659f52aea1ea275f16650c5e28420c198a0e34542dca35a74e4	false	CM058173.1	7666491	7673931	-	g4982	g4982.t1		Dmagna_LRV_IRs_braker_fixed	CM058173.1|-|7666491-7666646-0,7666710-7666815-1,7666898-7667167-1,7667249-7667432-2,7667487-7667781-0,7667863-7668029-2,7668115-7668263-1,7668332-7668435-0,7668511-7668848-2,7668922-7669057-0,7669124-7669540-0,7669605-7669815-1,7669882-7670183-0,7671834-7672041-1,7672098-7672246-0,7672327-7672455-0,7672534-7672751-2,7672818-7672974-0,7673052-7673210-0,7673339-7673426-1,7673544-7673650-0,7673797-7673931-0	1	Dmagna_LRV_IRs_braker_fixed:g4982.t1:g4982.t1
IRN_000002	g4988.t1	g4988.t1	IRN_000002	genome_gff	859d0d0ef2f582395727cf37f2dc0e8b0633ab1c9ab6080ac35fb57e1132086d	false	CM058173.1	7719328	7725013	-	g4988	g4988.t1		Dmagna_LRV_IRs_braker_fixed	CM058173.1|-|7719328-7719607-1,7719687-7719838-0,7719937-7720059-0,7720134-7720351-2,7720416-7720629-0,7720689-7720850-0,7720921-7721005-1,7721099-7721202-0,7721282-7721349-2,7723023-7723195-1,7723254-7723405-0,7723481-7723603-0,7723668-7723885-2,7723947-7724154-0,7724240-7724401-0,7724543-7724627-1,7724709-7724812-0,7724882-7725013-0	1	Dmagna_LRV_IRs_braker_fixed:g4988.t1:g4988.t1
IRN_000003	g4988.t2	g4988.t2	IRN_000003	genome_gff	21586a2af89fcd53ae109abe2fb87658d32fe385889fe37c8cd1bc35a63380e9	false	CM058173.1	7719328	7720805	-	g4988	g4988.t2		Dmagna_LRV_IRs_braker_fixed	CM058173.1|-|7719328-7719607-1,7719687-7719838-0,7719937-7720059-0,7720134-7720351-2,7720416-7720629-0,7720689-7720805-0	1	Dmagna_LRV_IRs_braker_fixed:g4988.t2:g4988.t2
IRN_000004	g4988.t3	g4988.t3	IRN_000004	genome_gff	1b4f3dfb5f80e5341bf8b02bb673fa91e7f883f1c53341ed9880b6e3be673e63	false	CM058173.1	7722943	7725013	-	g4988	g4988.t3		Dmagna_LRV_IRs_braker_fixed	CM058173.1|-|7722943-7723195-1,7723254-7723405-0,7723481-7723603-0,7723668-7723885-2,7723947-7724154-0,7724240-7724401-0,7724543-7724627-1,7724709-7724812-0,7724882-7725013-0	1	Dmagna_LRV_IRs_braker_fixed:g4988.t3:g4988.t3
IRN_000005	g7999.t1	g7999.t1	IRN_000005	genome_gff	25d363d899feda51e6c7f467396d9ebec9273abd3ee1851261e280f6a87c5549	false	CM058175.1	1119668	1122192	+	g7999	g7999.t1		Dmagna_LRV_IRs_braker_fixed	CM058175.1|+|1119668-1119802-0,1120044-1120150-0,1120256-1120337-1,1120471-1120632-0,1120701-1120875-0,1120984-1121204-2,1121334-1121459-0,1121560-1121705-0,1121940-1122192-1	1	Dmagna_LRV_IRs_braker_fixed:g7999.t1:g7999.t1
IRN_000006	g8000.t1	g8000.t1	IRN_000006	genome_gff	4d4912a75ec41ebeec9e41aa8cf0061ef0fae138a710eb5d80ac1212864b1e21	false	CM058175.1	1128126	1130567	+	g8000	g8000.t1		Dmagna_LRV_IRs_braker_fixed	CM058175.1|+|1128126-1128260-0,1128326-1128432-0,1128539-1128620-1,1128869-1129030-0,1129100-1129277-0,1129397-1129617-2,1129731-1129859-0,1129964-1130109-0,1130336-1130567-1	1	Dmagna_LRV_IRs_braker_fixed:g8000.t1:g8000.t1
IRN_000007	maker-CM058173.1-exonerate_protein2genome-gene-0.46-mRNA-1	maker-CM058173.1-exonerate_protein2genome-gene-0.46-mRNA-1	IRN_000007	genome_gff	d2afc6ae0348d830deb3fb197d30a7fe1cab2880ddea59430c14622086aee847	false	CM058173.1	7671810	7673931	-	maker-CM058173.1-exonerate_protein2genome-gene-0.46	maker-CM058173.1-exonerate_protein2genome-gene-0.46-mRNA-1		Dmagna_LRV_rnd1	CM058173.1|-|7671810-7672041-1,7672098-7672246-0,7672327-7672455-0,7672534-7672751-2,7672818-7672974-0,7673052-7673277-1,7673343-7673426-1,7673544-7673650-0,7673797-7673931-0	1	Dmagna_LRV_rnd1:maker-CM058173.1-exonerate_protein2genome-gene-0.46-mRNA-1:maker-CM058173.1-exonerate_protein2genome-gene-0.46-mRNA-1
IRN_000008	maker-CM058173.1-exonerate_protein2genome-gene-0.53-mRNA-1	maker-CM058173.1-exonerate_protein2genome-gene-0.53-mRNA-1	IRN_000008	genome_gff	98d0b80bf203067c4567aef04464af2acd24fb5bff1490b937057485d78cbe2c	false	CM058173.1	7719328	7724830	-	maker-CM058173.1-exonerate_protein2genome-gene-0.53	maker-CM058173.1-exonerate_protein2genome-gene-0.53-mRNA-1		Dmagna_LRV_rnd1	CM058173.1|-|7719328-7719607-1,7719687-7719838-0,7719937-7720059-0,7720134-7720351-2,7720416-7720513-1,7724024-7724154-0,7724240-7724401-0,7724543-7724627-1,7724709-7724830-0	1	Dmagna_LRV_rnd1:maker-CM058173.1-exonerate_protein2genome-gene-0.53-mRNA-1:maker-CM058173.1-exonerate_protein2genome-gene-0.53-mRNA-1
IRN_000009	maker-CM058175.1-exonerate_protein2genome-gene-0.0-mRNA-1	maker-CM058175.1-exonerate_protein2genome-gene-0.0-mRNA-1	IRN_000009	genome_gff	3c184fe9cf216d22b5b08d66e553b4f08e62f3efe868607326a3e7259facb22c	false	CM058175.1	1119668	1130567	+	maker-CM058175.1-exonerate_protein2genome-gene-0.0	maker-CM058175.1-exonerate_protein2genome-gene-0.0-mRNA-1		Dmagna_LRV_rnd1	CM058175.1|+|1119668-1119802-0,1120044-1120150-0,1128539-1128620-1,1128869-1129030-0,1129100-1129277-0,1129397-1129617-2,1129731-1129859-0,1129964-1130109-0,1130336-1130567-1	1	Dmagna_LRV_rnd1:maker-CM058175.1-exonerate_protein2genome-gene-0.0-mRNA-1:maker-CM058175.1-exonerate_protein2genome-gene-0.0-mRNA-1
IRN_000010	maker-CM058173.1-snap-gene-1.11-mRNA-1	maker-CM058173.1-snap-gene-1.11-mRNA-1	IRN_000010	genome_gff	07ee3482385235409e5b62fda7adf57d1d1e58c688e7dd5ac860662564f20238	false	CM058173.1	7719229	7725013	-	maker-CM058173.1-snap-gene-1.11	maker-CM058173.1-snap-gene-1.11-mRNA-1		Dmagna_LRV_snap-aug	CM058173.1|-|7719229-7719238-1,7719332-7719607-1,7719687-7719838-0,7719937-7720059-0,7720134-7720351-2,7720416-7720629-0,7720689-7720850-0,7720921-7721005-1,7721099-7721202-0,7721282-7721349-2,7722975-7723195-1,7723254-7723405-0,7723481-7723603-0,7723668-7723885-2,7723947-7724154-0,7724240-7724401-0,7724543-7724627-1,7724709-7724812-0,7724882-7725013-0	1	Dmagna_LRV_snap-aug:maker-CM058173.1-snap-gene-1.11-mRNA-1:maker-CM058173.1-snap-gene-1.11-mRNA-1
