protein_id	hardcoded_call	hardcoded_reason
IRN_000545	pass	matches_strict_topology
IRN_001296	fail	wrong_feature_count
IRN_001305	pass	matches_strict_topology
IRN_001580	fail	wrong_feature_count
IRN_001670	pass	matches_strict_topology
IRN_001677	fail	wrong_feature_count
IRN_001887	fail	wrong_feature_count
IRN_002115	pass	matches_strict_topology
IRN_002126	pass	matches_strict_topology
IRN_002268	pass	matches_strict_topology
IRN_002340	fail	wrong_feature_count
IRN_003126	pass	matches_strict_topology
IRN_003979	pass	matches_strict_topology
IRN_004020	pass	matches_strict_topology
IRN_004033	pass	matches_strict_topology
IRN_004080	pass	matches_strict_topology
IRN_004179	pass	matches_strict_topology
IRN_004342	pass	matches_strict_topology
IRN_004513	pass	matches_strict_topology
IRN_005086	pass	matches_strict_topology
IRN_005087	pass	matches_strict_topology
IRN_005088	pass	matches_strict_topology
IRN_005219	pass	matches_strict_topology
IRN_005576	pass	matches_strict_topology
IRN_006177	fail	wrong_feature_count
IRN_006587	pass	matches_strict_topology
IRN_006588	pass	matches_strict_topology
IRN_006600	pass	matches_strict_topology
IRN_007164	pass	matches_strict_topology
IRN_007517	pass	matches_strict_topology
IRN_007656	pass	matches_strict_topology
IRN_007657	pass	matches_strict_topology
IRN_007710	pass	matches_strict_topology
IRN_007719	pass	matches_strict_topology
IRN_007724	pass	matches_strict_topology
IRN_007872	pass	matches_strict_topology
IRN_008403	pass	matches_strict_topology
IRN_008638	pass	matches_strict_topology
IRN_008770	pass	matches_strict_topology
IRN_008771	pass	matches_strict_topology
IRN_008772	pass	matches_strict_topology
IRN_008919	fail	wrong_feature_count
IRN_009014	fail	wrong_feature_count
IRN_009061	pass	matches_strict_topology
IRN_009191	pass	matches_strict_topology
