protein_id	auto_decision	final_decision	decision_notes
XP_059081679.1	review	review	
XP_059081344.1	review	review	
XP_059078456.1	review	review	
XP_059079839.1	review	review	
XP_059079838.1	review	review	
XP_059079335.1	review	review	
XP_059080424.1	review	review	
XP_059078473.1	review	review	
XP_059084635.1	review	review	
XP_059078411.1	review	review	
XP_059079334.1	review	review	
XP_059079333.1	review	review	
XP_059085839.1	review	review	
XP_059081677.1	review	review	
XP_059079423.1	review	review	
XP_059082565.1	review	review	
XP_059079771.1	review	review	
XP_059082828.1	review	review	
XP_059079180.1	review	review	
XP_059080364.1	review	review	
XP_059082519.1	review	review	
XP_059080425.1	review	review	
XP_059083359.1	review	review	
XP_059085837.1	review	review	
XP_059085838.1	review	review	
XP_059082646.1	review	review	
XP_059086883.1	review	review	
XP_059082976.1	review	review	
XP_059084632.1	review	review	
XP_059083827.1	review	review	
XP_059085628.1	review	review	
XP_059081296.1	review	review	
XP_059080362.1	review	review	
XP_059079834.1	review	review	
XP_059093173.1	review	review	
XP_059095167.1	review	review	
XP_059091446.1	review	review	
XP_059091071.1	review	review	
XP_059091028.1	review	review	
XP_059092477.1	review	review	
XP_059095430.1	review	review	
XP_059095737.1	review	review	
XP_059088023.1	review	review	
XP_059085028.1	review	review	
XP_059083829.1	review	review	
XP_059090680.1	review	review	
XP_059088024.1	review	review	
XP_059088977.1	review	review	
XP_059089141.1	review	review	
XP_059087838.1	review	review	
XP_059096372.1	review	review	
XP_059089661.1	review	review	
XP_059082523.1	review	review	
XP_059088081.1	review	review	
XP_059088083.1	review	review	
XP_059086902.1	review	review	
XP_059087878.1	review	review	
XP_059088886.1	review	review	
XP_059085026.1	review	review	
XP_059085068.1	review	review	
XP_059085084.1	review	review	
XP_059083828.1	review	review	
XP_059085070.1	review	review	
XP_059088574.1	review	review	
XP_059084403.1	review	review	
XP_059081678.1	review	review	
XP_059087837.1	review	review	
XP_059084838.1	review	review	
XP_059083446.1	review	review	
XP_059079489.1	review	review	
XP_059098288.1	review	review	
XP_059084920.1	review	review	
XP_059086884.1	review	review	
XP_059083805.1	review	review	
XP_059080319.1	review	review	
XP_059084726.1	review	review	
XP_059080573.1	review	review	
XP_059087836.1	review	review	
XP_059084837.1	review	review	
XP_059099180.1	review	review	
XP_059098639.1	review	review	
XP_059099218.1	review	review	
XP_059098032.1	review	review	
XP_059098080.1	review	review	
XP_059097828.1	review	review	
XP_059098031.1	review	review	
XP_059097644.1	review	review	
XP_059097643.1	review	review	
XP_059097759.1	review	review	
XP_059097426.1	review	review	
XP_059097411.1	review	review	
XP_059097430.1	review	review	
XP_059097354.1	review	review	
XP_059097263.1	review	review	
XP_059096679.1	review	review	
XP_059096791.1	review	review	
XP_059096594.1	review	review	
XP_059096591.1	review	review	
XP_059096479.1	review	review	
XP_059096592.1	review	review	
XP_059096595.1	review	review	
XP_059096463.1	review	review	
XP_059096371.1	review	review	
XP_059096370.1	review	review	
XP_059095945.1	review	review	
XP_059095839.1	review	review	
XP_059096256.1	review	review	
XP_059096106.1	review	review	
XP_059095937.1	review	review	
XP_059095760.1	review	review	
XP_059095569.1	review	review	
XP_059094370.1	review	review	
XP_059095533.1	review	review	
XP_059095193.1	review	review	
XP_059095158.1	review	review	
XP_059092450.1	review	review	
XP_059095174.1	review	review	
XP_059093916.1	review	review	
XP_059093676.1	review	review	
XP_059095118.1	review	review	
XP_059099441.1	review	review	
XP_059099240.1	review	review	
