protein_id	feature_order	n_tmhelix	has_signal	has_unknown_features
IRN_000215	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_000216	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_000217	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_000218	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_000471	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_001332	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_001333	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_002019	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_002020	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_002072	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_002073	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_002075	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_002185	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_002214	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_002215	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_002216	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_002217	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_003465	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_003466	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_003685	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_003720	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_003721	outside,tmhelix,inside,tmhelix,outside	2	false	false
IRN_005416	inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	14	false	false
IRN_005417	inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	14	false	false
IRN_005737	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_005738	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_005739	inside,tmhelix,outside,tmhelix,inside	2	false	false
IRN_005740	inside,tmhelix,outside,tmhelix,inside	2	false	false
IRN_005750	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_005768	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_005769	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_005773	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_005774	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_005775	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_005803	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006067	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_006068	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_006145	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
