protein_id	auto_decision	final_decision	decision_notes
IRN_000545	accept	review	
IRN_001296	reject	review	
IRN_001305	accept	review	
IRN_001580	reject	review	
IRN_001670	accept	review	
IRN_001677	reject	review	
IRN_001887	reject	review	
IRN_002115	accept	review	
IRN_002126	accept	review	
IRN_002268	accept	review	
IRN_002340	reject	review	
IRN_003126	accept	review	
IRN_003979	accept	review	
IRN_004020	accept	review	
IRN_004033	accept	review	
IRN_004080	accept	review	
IRN_004179	accept	review	
IRN_004342	accept	review	
IRN_004513	accept	review	
IRN_005086	accept	review	
IRN_005087	accept	review	
IRN_005088	accept	review	
IRN_005219	accept	review	
IRN_005576	accept	review	
IRN_006177	reject	review	
IRN_006587	accept	review	
IRN_006588	accept	review	
IRN_006600	accept	review	
IRN_007164	accept	review	
IRN_007517	accept	review	
IRN_007656	accept	review	
IRN_007657	accept	review	
IRN_007710	accept	review	
IRN_007719	accept	review	
IRN_007724	accept	review	
IRN_007872	accept	review	
IRN_008403	accept	review	
IRN_008638	accept	review	
IRN_008770	accept	review	
IRN_008771	accept	review	
IRN_008772	accept	review	
IRN_008919	reject	review	
IRN_009014	reject	review	
IRN_009061	accept	review	
IRN_009191	accept	review	
