protein_id	hardcoded_call	topology_class	hardcoded_reason
IRN_000001	pass	strict	matches_strict_topology
IRN_000002	fail	fail	wrong_feature_order
IRN_000003	pass	relaxed	matches_relaxed_topology
IRN_000004	pass	strict	matches_strict_topology
IRN_000005	pass	strict	matches_strict_topology
IRN_000006	pass	strict	matches_strict_topology
IRN_000007	pass	strict	matches_strict_topology
IRN_000008	pass	relaxed	matches_relaxed_topology
IRN_000009	pass	strict	matches_strict_topology
IRN_000010	fail	fail	wrong_feature_order
IRN_000011	pass	relaxed	matches_relaxed_topology
IRN_000012	pass	strict	matches_strict_topology
IRN_000013	pass	relaxed	matches_relaxed_topology
